"zip","area_name","LA_city","lon","lat"
"90001","Florence/South Central",TRUE,-118.2468148,33.9697897
"90002","Watts",TRUE,-118.2497386,33.9511133
"90003","South Central",TRUE,-118.2731269,33.9657994
"90004","Hancock Park",TRUE,-118.3082034,34.0748887
"90005","Koreatown",TRUE,-118.3096648,34.0578814
"90006","Pico Heights",TRUE,-118.2965121,34.0470832
"90007","South Central",TRUE,-118.2848199,34.0295114
"90008","Baldwin Hills/Crenshaw/Leimert Park",TRUE,-118.3491169,34.0083231
"90009","Airport Worldway",TRUE,-118.3869165,33.9532336
"90010","Wilshire Blvd",TRUE,-118.3089341,34.0625448
"90011","South Central",TRUE,-118.2585096,34.007889
"90012","Civic Center/Chinatown",TRUE,-118.243891,34.0653347
"90013","Downtown Los Angeles",TRUE,-118.2405557,34.0445905
"90014","Los Angeles",FALSE,-118.2519314,34.0434783
"90015","Downtown Los Angeles",TRUE,-118.2672801,34.0390107
"90016","West Adams",TRUE,-118.3520389,34.0255188
"90017","Downtown Los Angeles",TRUE,-118.2672801,34.0543797
"90018","Jefferson Park",TRUE,-118.319894,34.0309972
"90019","Country Club Park/Mid City",TRUE,-118.3403506,34.0489277
"90020","Hancock Park",TRUE,-118.3096648,34.0655627
"90021","Downtown Los Angeles",TRUE,-118.2380432,34.0309258
"90022","East Los Angeles",FALSE,-118.153228,34.0238187
"90023","East Los Angeles",TRUE,-118.2000277,34.0224471
"90024","Westwood",TRUE,-118.4367551,34.0631451
"90025","Sawtelle/West Los Angeles",TRUE,-118.4484367,34.0448583
"90026","Echo Park/Silverlake",TRUE,-118.2585096,34.0796167
"90027","Griffith Park/Los Feliz",TRUE,-118.2935891,34.1220545
"90028","Hollywood",TRUE,-118.325739,34.1012181
"90029","Downtown Los Angeles",TRUE,-118.2965121,34.0880507
"90030","Terminal Annex",TRUE,-118.24,34.06
"90031","Montecito Heights",TRUE,-118.2117257,34.081032
"90032","El Sereno/Monterey Hills",TRUE,-118.1766294,34.0795169
"90033","Boyle Heights",TRUE,-118.2117257,34.0502898
"90034","Palms",TRUE,-118.395863,34.0324632
"90035","West Fairfax",TRUE,-118.3841777,34.050751
"90036","Park La Brea",TRUE,-118.3520389,34.0664817
"90037","South Central",TRUE,-118.2818967,34.002058
"90038","Hollywood",TRUE,-118.3315838,34.0895186
"90039","Atwater Village",TRUE,-118.2585096,34.1103407
"90040","Commerce, City of",FALSE,-118.153228,33.9930471
"90041","Eagle Rock",TRUE,-118.2117257,34.1322469
"90042","Highland Park",TRUE,-118.188329,34.1175895
"90043","Hyde Park/View Park/Windsor Hills",TRUE,-118.3286614,33.9903827
"90044","Athens",FALSE,-118.2935891,33.9478802
"90045","LAX Area/Westchester",TRUE,-118.3875775,33.9516114
"90046","Mount Olympus",TRUE,-118.3637264,34.1147313
"90047","South Central",TRUE,-118.3082034,33.9519253
"90048","West Beverly",TRUE,-118.3724915,34.0741548
"90049","Bel Air Estates/Brentwood",TRUE,-118.4980744,34.0963058
"90050","Los Angeles",FALSE,-118.2036321,34.1206108
"90051","Los Angeles",FALSE,-118.25,33.95
"90052","Los Angeles",FALSE,-118.2592405,33.9788726
"90053","Los Angeles",FALSE,-118.2399854,34.0499892
"90054","Los Angeles",FALSE,-118.24,34.06
"90055","Los Angeles",FALSE,-118.2584017,34.038371
"90056","Ladera Heights",TRUE,-118.3666482,33.9885683
"90057","Westlake",TRUE,-118.2789735,34.0617061
"90058","Vernon",FALSE,-118.2234229,34.0063747
"90059","Watts/Willowbrook",TRUE,-118.2468148,33.9287591
"90060","Los Angeles",FALSE,-118.24,34.06
"90061","South Central",TRUE,-118.2731269,33.9196443
"90062","South Central",TRUE,-118.3082034,34.0031792
"90063","City Terrace",FALSE,-118.1854042,34.0440239
"90064","Cheviot Hills/Rancho Park",TRUE,-118.4221519,34.0386656
"90065","Cypress Park/Glassell Park/Mt. Washin",TRUE,-118.2234229,34.10885
"90066","Mar Vista",TRUE,-118.4338345,34.0050173
"90067","Century City",TRUE,-118.4148498,34.0571327
"90068","Hollywood",TRUE,-118.3286614,34.1235157
"90069","West Hollywood",FALSE,-118.3783347,34.0931603
"90070","Los Angeles",FALSE,-118.3101649,34.0598902
"90071","ARCO Towers",TRUE,-118.2548551,34.052996
"90072","Los Angeles",FALSE,-118.3092914,34.0965275
"90073","VA Hospital (Sawtelle)",FALSE,-118.452087,34.0522561
"90075","Los Angeles",FALSE,-118.3100196,34.059975
"90076","Los Angeles",FALSE,-118.3099973,34.0599809
"90077","Bel Air Estates & Beverly Glen",TRUE,-118.4571974,34.1014861
"90078","Los Angeles",FALSE,-118.3310632,34.0993907
"90079","Los Angeles",FALSE,-118.2554032,34.0405313
"90080","Airport Worldway",TRUE,NA,NA
"90081","Los Angeles",FALSE,-118.2511908,34.052984
"90082","Los Angeles",FALSE,-118.2798042,33.9999897
"90083","Los Angeles",FALSE,-118.4,33.95
"90086","Los Angeles",FALSE,-118.24,34.06
"90087","Los Angeles",FALSE,-118.24,34.06
"90089","USC",TRUE,-118.2892046,34.0220127
"90091","Los Angeles",FALSE,-118.1499982,33.9899979
"90093","Los Angeles",FALSE,-118.33,34.1
"90094","Playa Vista",FALSE,-118.4177707,33.9744806
"90095","Los Angeles",FALSE,-118.4440562,34.070264
"90099","Los Angeles",FALSE,-118.24,34.06
"90201","Bell/Bell Gardens/Cudahy",FALSE,-118.1766294,33.9667212
"90202","Bell Gardens",FALSE,-118.19,33.9799999
"90209","Beverly Hills",FALSE,-118.389995,34.0699904
"90210","Beverly Hills/Beverly Glen",TRUE,-118.4069666,34.0683231
"90211","Beverly Hills",FALSE,-118.3841777,34.0661071
"90212","Beverly Hills",FALSE,-118.4017053,34.0617109
"90213","Beverly Hills",FALSE,-118.3997374,34.0695104
"90220","Compton/Rancho Dominguez",FALSE,-118.2351192,33.8803536
"90221","East Rancho Dominguez",FALSE,-118.2000277,33.8890686
"90222","Compton/Rosewood/Willowbrook",FALSE,-118.2351192,33.9111458
"90223","Compton",FALSE,-118.2199049,33.89989
"90224","Compton",FALSE,-118.22,33.89
"90230","Culver City",FALSE,-118.3987842,33.9933257
"90231","Culver City",FALSE,-118.39,34
"90232","Culver City",FALSE,-118.3900204,34.0236878
"90233","Culver City",FALSE,-118.3899667,33.9799584
"90239","Downey",FALSE,-118.13,33.94
"90240","Downey",FALSE,-118.1210458,33.9574105
"90241","Downey",FALSE,-118.1298234,33.9372725
"90242","Downey",FALSE,-118.1298234,33.9167378
"90245","El Segundo",FALSE,-118.4046264,33.9150066
"90247","Gardena",FALSE,-118.2935891,33.8863314
"90248","Gardena",FALSE,-118.2935891,33.8658064
"90249","Gardena",FALSE,-118.3169714,33.901022
"90250","Hawthorne (Holly Park)",FALSE,-118.3520389,33.9127807
"90251","Hawthorne",FALSE,-118.35,33.92
"90254","Hermosa Beach",FALSE,-118.3987842,33.8600693
"90255","Huntington Park/Walnut Park",FALSE,-118.2234229,33.9756107
"90260","Lawndale",FALSE,-118.3520389,33.8922687
"90261","Lawndale (Federal Bldg)",FALSE,-118.3776043,33.8954945
"90262","Lynwood",FALSE,-118.2000277,33.9198647
"90263","Pepperdine University (Malibu)",FALSE,-118.7037647,34.0327657
"90264","Malibu",FALSE,-118.6941818,34.0349051
"90265","Malibu",FALSE,-118.8363756,34.0615492
"90266","Manhattan Beach",FALSE,-118.3987842,33.8908371
"90267","Manhattan Beach",FALSE,-118.41,33.88
"90270","Maywood",FALSE,-118.1854042,33.9876248
"90272","Castellemare/Pacific Highlands/Pacifi",TRUE,-118.5447787,34.0845245
"90274","Palos Verdes Estates/Rolling Hills/Rolling Hills Estates",FALSE,-118.3520389,33.7793751
"90275","Rancho Palos Verdes",FALSE,-118.3637264,33.7456493
"90277","Redondo Beach/Torrance",FALSE,-118.3870991,33.8322129
"90278","Redondo Beach/Torrance",FALSE,-118.3754131,33.865913
"90280","South Gate",FALSE,-118.188329,33.9432948
"90290","Topanga",FALSE,-118.61481,34.1076983
"90291","Venice",TRUE,-118.4688776,33.9962144
"90292","Marina del Rey",FALSE,-118.4571974,33.9684276
"90293","Playa del Rey",TRUE,-118.4455164,33.9508728
"90294","Venice",TRUE,-118.46,33.99
"90295","Marina del Rey",FALSE,-118.4499975,33.979998
"90296","Playa Del Rey",FALSE,-118.44,33.95
"90301","Inglewood",FALSE,-118.3520389,33.9537917
"90302","Inglewood",FALSE,-118.3520389,33.9742906
"90303","Inglewood",FALSE,-118.3315838,33.9358352
"90304","Lennox",FALSE,-118.3608046,33.9387862
"90305","Inglewood",FALSE,-118.3286614,33.9596334
"90306","Inglewood",FALSE,-118.3499862,33.9599711
"90307","Inglewood",FALSE,-118.35,33.96
"90308","Inglewood",FALSE,-118.35,33.96
"90309","Inglewood",FALSE,-118.36,33.97
"90310","Inglewood",FALSE,-118.32,33.93
"90311","Inglewood",FALSE,-118.35,33.96
"90312","Inglewood",FALSE,-118.349893,33.9600199
"90401","Santa Monica",FALSE,-118.495155,34.0126379
"90402","Santa Monica",FALSE,-118.5068325,34.0352816
"90403","Santa Monica",FALSE,-118.495155,34.0279895
"90404","Santa Monica",FALSE,-118.4717975,34.02875
"90405","Santa Monica",FALSE,-118.4659576,34.009746
"90406","Santa Monica",FALSE,-118.5000014,34.0199977
"90407","Santa Monica",FALSE,-118.5,34.02
"90408","Santa Monica",FALSE,-118.4903818,34.0258537
"90409","Santa Monica",FALSE,-118.48,34
"90410","Santa Monica",FALSE,-118.5,34.02
"90411","Santa Monica",FALSE,-118.5,34.02
"90501","Torrance",FALSE,-118.3169714,33.8291867
"90502","Torrance",FALSE,-118.2906661,33.8331717
"90503","Torrance",FALSE,-118.3520389,33.8409696
"90504","Torrance",FALSE,-118.3286614,33.8673266
"90505","Torrance",FALSE,-118.3520389,33.8101772
"90506","Torrance (Camino College)",FALSE,-118.329392,33.8844585
"90507","Torrance",FALSE,-118.31,33.83
"90508","Torrance",FALSE,-118.31,33.83
"90509","Torrance",FALSE,-118.33,33.83
"90510","Torrance",FALSE,-118.328528,33.827044
"90601","Whittier",FALSE,-118.0303189,34.0080684
"90602","Whittier",FALSE,-118.0215363,33.9717336
"90603","Whittier",FALSE,-117.9931472,33.9443011
"90604","Whittier",FALSE,-118.0244639,33.9324943
"90605","Whittier/South Whittier",FALSE,-118.0273914,33.9548846
"90606","Los Nietos",FALSE,-118.0712981,33.9722831
"90607","Whittier",FALSE,-118.02,33.96
"90608","Whittier (Whittier College)",FALSE,-118.035064,33.9807825
"90609","Whittwood (Whittier)",FALSE,-118.03,33.9799999
"90610","Los Nietos (Whittier)",FALSE,-118.07,33.97
"90623","La Palma",FALSE,-118.0449554,33.8477954
"90630","Cypress",FALSE,-118.0361736,33.816539
"90631","La Habra Heights",FALSE,-117.9600466,33.9226618
"90637","La Mirada",FALSE,-118.0037566,33.8957
"90638","La Mirada",FALSE,-118.0127534,33.9045543
"90639","La Mirada (Biola Univ.)",FALSE,-118.0179682,33.9052822
"90640","Montebello",FALSE,-118.1064156,34.0149091
"90650","Norwalk",FALSE,-118.0830047,33.9077751
"90651","Norwalk",FALSE,-118.0784449,33.9045574
"90651","Norwalk",FALSE,-118.0784449,33.9045574
"90652","Norwalk",FALSE,-118.0784449,33.9045574
"90660","Pico Rivera",FALSE,-118.0947106,33.9870228
"90661","Pico Rivera",FALSE,-118.0857083,33.9859405
"90662","Pico Rivera",FALSE,-118.0857083,33.9859405
"90670","Santa Fe Springs",FALSE,-118.0712981,33.9414796
"90671","Santa Fe Springs",FALSE,-118.08,33.95
"90701","Cerritos",FALSE,-118.0800782,33.8648303
"90702","Artesia",FALSE,-118.0838799,33.8657838
"90703","Cerritos",FALSE,-118.0595907,33.8724552
"90704","Avalon",FALSE,-118.4396756,33.3614631
"90706","Bellflower",FALSE,-118.1239717,33.8822393
"90707","Bellflower",FALSE,-118.1243793,33.8821364
"90710","Harbor City",TRUE,-118.2965121,33.7957752
"90711","Lakewood",FALSE,-118.1330353,33.8522282
"90712","Lakewood",FALSE,-118.153228,33.8493162
"90713","Lakewood",FALSE,-118.1181199,33.8477257
"90714","Lakewood",FALSE,-118.1330353,33.8522282
"90715","Lakewood",FALSE,-118.0783974,33.8413324
"90716","Hawaiian Gardens",FALSE,-118.0742249,33.830298
"90717","Lomita/Rancho Palos Verdes",FALSE,-118.319894,33.7950887
"90723","Paramount",FALSE,-118.1649291,33.8977737
"90731","San Pedro/Terminal Island",TRUE,-118.2643567,33.7241323
"90732","Rancho Palos Verdes",FALSE,-118.3140488,33.7349075
"90733","San Pedro",TRUE,-118.2805078,33.7367479
"90734","San Pedro",FALSE,-118.2922222,33.7358333
"90744","Wilmington",TRUE,-118.2643567,33.7857948
"90745","Carson",FALSE,-118.2585096,33.8232001
"90746","Carson",FALSE,-118.2585096,33.8540061
"90747","Carson (Cal State Univ. Dominguez Hills)",FALSE,-118.2558801,33.8641714
"90748","Wilmington",TRUE,-118.2626058,33.7830899
"90749","Carson",FALSE,-118.26,33.83
"90755","Signal Hill",FALSE,-118.1678543,33.8020217
"90801","Long Beach",FALSE,-118.187732,33.7705139
"90802","Long Beach",FALSE,-118.1941785,33.7415317
"90803","Long Beach",FALSE,-118.1298234,33.7523035
"90804","Long Beach",FALSE,-118.1503026,33.7806646
"90805","North Long Beach (Long Beach)",FALSE,-118.1766294,33.8640647
"90806","Long Beach",FALSE,-118.1912538,33.8065036
"90807","Long Beach",FALSE,-118.1766294,33.8332465
"90808","Long Beach",FALSE,-118.1064156,33.8197825
"90809","Long Beach",FALSE,-118.1495712,33.798194
"90810","Carson/Long Beach",FALSE,-118.2234229,33.8113701
"90813","Long Beach",FALSE,-118.1971031,33.7844997
"90814","Long Beach",FALSE,-118.1429889,33.7709051
"90815","Long Beach",FALSE,-118.1181199,33.7963296
"90822","Long Beach",FALSE,-118.1495712,33.8084732
